building_id,db_id,floor_id,bounding_box_min_z
11111111-1111-1111-1111-111111111111,34043,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.71
11111111-1111-1111-1111-111111111111,34045,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.71
11111111-1111-1111-1111-111111111111,34047,00856c02-8250-4129-a6c4-9c136cb7ccff,-13.17
11111111-1111-1111-1111-111111111111,34049,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.43
11111111-1111-1111-1111-111111111111,34050,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.72
11111111-1111-1111-1111-111111111111,34053,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-56.09
11111111-1111-1111-1111-111111111111,34055,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.09
11111111-1111-1111-1111-111111111111,34057,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.03
11111111-1111-1111-1111-111111111111,34059,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.97
11111111-1111-1111-1111-111111111111,34061,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.01
11111111-1111-1111-1111-111111111111,34062,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.25
11111111-1111-1111-1111-111111111111,34065,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.79
11111111-1111-1111-1111-111111111111,34067,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-55.66
11111111-1111-1111-1111-111111111111,34069,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.95
11111111-1111-1111-1111-111111111111,34071,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.95
11111111-1111-1111-1111-111111111111,34073,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-50.85
11111111-1111-1111-1111-111111111111,34075,c1595300-71fd-443c-891b-15e5feb8e8cd,0.12
11111111-1111-1111-1111-111111111111,34077,f758284b-b56d-4388-9674-ae0f08d94e5a,13.16
11111111-1111-1111-1111-111111111111,34079,f758284b-b56d-4388-9674-ae0f08d94e5a,13.16
11111111-1111-1111-1111-111111111111,34081,f758284b-b56d-4388-9674-ae0f08d94e5a,13.41
11111111-1111-1111-1111-111111111111,34083,f758284b-b56d-4388-9674-ae0f08d94e5a,10.13
11111111-1111-1111-1111-111111111111,34085,f758284b-b56d-4388-9674-ae0f08d94e5a,13.44
11111111-1111-1111-1111-111111111111,34087,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.27
11111111-1111-1111-1111-111111111111,34089,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.98
11111111-1111-1111-1111-111111111111,34091,f758284b-b56d-4388-9674-ae0f08d94e5a,10.11
11111111-1111-1111-1111-111111111111,34093,f758284b-b56d-4388-9674-ae0f08d94e5a,10.13
11111111-1111-1111-1111-111111111111,34095,f758284b-b56d-4388-9674-ae0f08d94e5a,15.44
11111111-1111-1111-1111-111111111111,34237,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.96
11111111-1111-1111-1111-111111111111,34239,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.96
11111111-1111-1111-1111-111111111111,34241,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.96
11111111-1111-1111-1111-111111111111,34243,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.96
11111111-1111-1111-1111-111111111111,34245,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.46
11111111-1111-1111-1111-111111111111,34247,4e720225-09be-4a20-b117-8e7e1ed6c54f,38.11
11111111-1111-1111-1111-111111111111,34249,4e720225-09be-4a20-b117-8e7e1ed6c54f,38.11
11111111-1111-1111-1111-111111111111,34251,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.51
11111111-1111-1111-1111-111111111111,34253,4e720225-09be-4a20-b117-8e7e1ed6c54f,38.05
11111111-1111-1111-1111-111111111111,34255,4e720225-09be-4a20-b117-8e7e1ed6c54f,37.87
